loc,loc_,loc_pair
Nishtar Colony,1061.0,"('Nishtar Colony', 1061.0)"
Bhatta Chowk,229.0,"('Bhatta Chowk', 229.0)"
Madina Colony,897.0,"('Madina Colony', 897.0)"
Highcourt Society,654.0,"('Highcourt Society', 654.0)"
Ravi Park,1198.0,"('Ravi Park', 1198.0)"
Zaman Colony,1497.0,"('Zaman Colony', 1497.0)"
Korangi,835.0,"('Korangi', 835.0)"
Hill Park,656.0,"('Hill Park', 656.0)"
Malir Link To Super Highway,914.0,"('Malir Link To Super Highway', 914.0)"
Ranchore Line Bazar,1189.0,"('Ranchore Line Bazar', 1189.0)"
M. A. Jinnah Road,893.0,"('M. A. Jinnah Road', 893.0)"
Super Highway,1398.0,"('Super Highway', 1398.0)"
Jhangi Syedan,741.0,"('Jhangi Syedan', 741.0)"
Chak Shahzad,285.0,"('Chak Shahzad', 285.0)"
H-13,622.0,"('H-13', 622.0)"
Jaranwala Town,731.0,"('Jaranwala Town', 731.0)"
Khayaban Colony,806.0,"('Khayaban Colony', 806.0)"
Nisar Colony,1057.0,"('Nisar Colony', 1057.0)"
Nawaban Wala,1029.0,"('Nawaban Wala', 1029.0)"
Manawala,918.0,"('Manawala', 918.0)"
Fareed Town,465.0,"('Fareed Town', 465.0)"
Others,1081.0,"('Others', 1081.0)"
Qasimabad,1158.0,"('Qasimabad', 1158.0)"
Palm City,1110.0,"('Palm City', 1110.0)"
Younas Town,1490.0,"('Younas Town', 1490.0)"
Peoples Colony No 1,1126.0,"('Peoples Colony No 1', 1126.0)"
Sangar Town,1278.0,"('Sangar Town', 1278.0)"
KRL Road,755.0,"('KRL Road', 755.0)"
Central Park Housing Scheme,275.0,"('Central Park Housing Scheme', 275.0)"
Al-Hamad Colony (AIT),88.0,"('Al-Hamad Colony (AIT)', 88.0)"
Ameer-ud-Din Park,127.0,"('Ameer-ud-Din Park', 127.0)"
Ittifaq Town,708.0,"('Ittifaq Town', 708.0)"
Mohafiz Town,966.0,"('Mohafiz Town', 966.0)"
Awan Town,171.0,"('Awan Town', 171.0)"
Shadab Garden,1297.0,"('Shadab Garden', 1297.0)"
Al Rahim Homes,81.0,"('Al Rahim Homes', 81.0)"
Chauburji Chowk,302.0,"('Chauburji Chowk', 302.0)"
Islamia Park,702.0,"('Islamia Park', 702.0)"
Sunny Park,1396.0,"('Sunny Park', 1396.0)"
Fort Villas,483.0,"('Fort Villas', 483.0)"
PIA Housing Scheme,1096.0,"('PIA Housing Scheme', 1096.0)"
